Domain,Status,Relation_Score,Final_URL,HTTP_Status,Title,Content_CSE_Keyword_Count,Content_Phish_Keyword_Count,Semantic_CSE,Semantic_Score,Favicon_Match,Favicon_Distance,RDAP_Org,RDAP_Registrar,Domain_Age_Days
dwar.co.in,uncertain,0.8,https://dwar.co.in,200.0,,0.0,0.0,BoB,0.484,,,Ayush Aman,801217.0,7.0
ra9.net.in,unrelated,0.3,https://ra9.net.in,200.0,Ra9,0.0,0.0,SBI,0.142,,,,1636.0,7.0
greenlotus.co.in,uncertain,0.8,https://greenlotus.co.in,200.0,greenlotus.co.in,0.0,0.0,IRCTC,0.156,,,,801409.0,7.0
addigit.co.in,unrelated,0.3,https://addigit.co.in,200.0,AdDigit - Digital Signage Content Management,0.0,1.0,IRCTC,0.215,,,,1647.0,7.0
glowuv.in,uncertain,0.8,https://glowuv.in,200.0,glowuv,0.0,1.0,SBI,0.206,,,glowuv.in,146.0,7.0
hecs.co.in,unrelated,0.3,https://hecs.co.in,200.0,,0.0,0.0,BoB,0.484,,,,146.0,7.0
printbob.in,unrelated,0.3,https://printbob.in,200.0,,0.0,0.0,BoB,0.484,,,,146.0,7.0
hotelindiana.co.in,uncertain,0.8,https://hotelindiana.co.in,200.0,,0.0,0.0,BoB,0.484,,,Star PG,146.0,7.0
nankha.co.in,uncertain,0.8,https://nankha.co.in,200.0,,0.0,0.0,BoB,0.484,,,NANKHA,146.0,7.0
glomeq.in,unrelated,0.3,https://glomeq.in,200.0,,0.0,0.0,BoB,0.484,,,,146.0,7.0
m3t.org.in,uncertain,0.8,https://m3t.org.in,200.0,,0.0,0.0,BoB,0.484,,,ISKCON,146.0,7.0
theglenhart.co.in,uncertain,0.8,https://theglenhart.co.in,200.0,,0.0,0.0,BoB,0.484,,,HOUZBAY CONSULTING,146.0,7.0
ajor.co.in,uncertain,0.8,https://ajor.co.in,200.0,,0.0,0.0,BoB,0.484,,,JAGDHARI TRADERS,146.0,7.0
the-glenhart.co.in,uncertain,0.8,https://the-glenhart.co.in,200.0,,0.0,0.0,BoB,0.484,,,HOUZBAY CONSULTING,146.0,7.0
w-max.co.in,uncertain,0.8,https://w-max.co.in,200.0,,0.0,0.0,BoB,0.484,,,Wuerth India Private Limited,146.0,7.0
dhanguard.org.in,unrelated,0.3,https://dhanguard.org.in,200.0,Parked Domain name on Hostinger DNS system,0.0,1.0,HDFC,0.128,,,,1636.0,7.0
aagame777.co.in,unrelated,0.3,https://aagame777.co.in,200.0,AA Game APK - AA Game,0.0,0.0,IOCL,0.309,,,,1636.0,7.0
optionchain.co.in,uncertain,0.8,https://optionchain.co.in,200.0,NSE Option Chain — Pro View,0.0,0.0,IOCL,0.159,,,Jeevanashray Foundation,146.0,7.0
badmintonindia.org.in,unrelated,0.3,https://badmintonindia.org.in,200.0,badmintonindia.org.in -,0.0,0.0,IOCL,0.199,,,,146.0,7.0
tharang.co.in,unrelated,0.3,https://tharang.co.in,200.0,Tharang,0.0,0.0,IRCTC,0.108,,,,146.0,7.0
studioardo.co.in,uncertain,0.8,https://studioardo.co.in,200.0,Studio Ardo,0.0,0.0,IOCL,0.23,,,Studio Ardo,146.0,7.0
kavininfra.co.in,uncertain,0.8,https://kavininfra.co.in,200.0,Domain Default page,0.0,1.0,SBI,0.185,,,KAVIN INFRASTRUCTURE SERVICES PRIVATE LIMITED,801217.0,7.0
kioselvators.co.in,unrelated,0.3,https://kioselvators.co.in,200.0,Kios Elevators | Home,0.0,1.0,Airtel,0.246,,,,,0.0
goodx.co.in,unrelated,0.3,https://goodx.co.in,200.0,E - Transport,0.0,0.0,HDFC,0.22,ICICI,26.0,,,0.0
onlineage.in,uncertain,0.8,https://onlineage.in,200.0,OnlineAge – OnlineAge,1.0,1.0,PNB,0.286,,,,,0.0
kovyl.in,unrelated,0.3,https://kovyl.in,200.0,Parked Domain name on Hostinger DNS system,0.0,1.0,HDFC,0.128,,,,,0.0
hop.org.in,unrelated,0.3,https://hop.org.in,200.0,Parked Domain name on Hostinger DNS system,0.0,1.0,HDFC,0.128,,,,,0.0
