Domain,url_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,digit_ratio,num_special,num_question,num_equal,num_dollar,num_exclamation,num_hashtag,num_percent,repeated_digits_url,domain_length,num_hyphens_domain,num_special_domain,has_special_domain,subdomain_count,avg_subdomain_len,subdomain_hyphen,subdomain_repeated_digits,entropy_url,entropy_domain,https,has_ip_host,is_related_to_cse,html_length,num_links,external_links_ratio,num_forms,has_login_form,num_scripts,num_iframes,title_length,meta_keyword_match,favicon_match_cse,favicon_distance
mynicy.beauty,20.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.746439344671016,3.334679141051595,0.0,0.0,0.21666039526462555,114.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,999.0
freshchronicles5.xyz,27.0,1.0,0.0,0.0,2.0,1.0,0.03703702331962099,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.134336113194451,3.8219280948873626,0.0,0.0,0.1864645928144455,11066.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,999.0
yunico.pl,16.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.625,3.169925001442312,0.0,0.0,0.32938602566719055,344761.0,53.0,0.32075465646138557,12.0,0.0,83.0,0.0,10.0,1.0,0.0,999.0
stemchronicle.com,24.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7720552088742005,3.4548223999466057,0.0,0.0,0.2413436472415924,114.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,999.0
ipnbgssw.bond,20.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7219280948873625,3.238901256602631,0.0,0.0,0.35968416929244995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
mopameclinic.com,23.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6753108689123635,3.1556390622295662,0.0,0.0,0.33539873361587524,3137.0,1.0,0.9999900000999989,0.0,0.0,6.0,0.0,11.0,0.0,0.0,999.0
nickash.dev,18.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8365916681089787,3.4594316186372973,0.0,0.0,0.381999135017395,40873.0,24.0,0.5416664409723163,0.0,0.0,1.0,0.0,45.0,1.0,0.0,999.0
robustonics.com,22.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7544418457133455,3.323231428797621,0.0,0.0,0.19319887459278107,91834.0,2.0,0.0,2.0,1.0,49.0,0.0,18.0,1.0,0.0,999.0
qurityclinic.com,23.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8164027166443866,3.4056390622295662,0.0,0.0,0.34280723333358765,74747.0,4.0,0.24999937500156252,0.0,0.0,6.0,0.0,16.0,1.0,0.0,999.0
uybob.com,16.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.725480556997868,0.0,0.0,0.33281388878822327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
clinicaavi.com,21.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6537567082870015,2.9852281360342516,0.0,0.0,0.3658090829849243,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
supermacanic.shop,24.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8868421881310113,3.616874605956222,0.0,0.0,0.2920699715614319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
beautanicals.id,22.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8453509366224363,3.456564762130954,0.0,0.0,0.30720415711402893,618839.0,50.0,0.9799998040000392,1.0,0.0,54.0,0.0,38.0,1.0,1.0,26.0
maiyakenick.com,22.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.823067982273661,3.240223928941852,0.0,0.0,0.3135659396648407,120291.0,16.0,0.9999993750003906,0.0,0.0,11.0,0.0,26.0,1.0,0.0,999.0
fbobdfn.bond,19.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3660913291191923,2.5220552088742005,0.0,0.0,0.30548861622810364,1723.0,2.0,0.49999750001249993,0.0,0.0,1.0,1.0,27.0,0.0,0.0,999.0
top-organic.cloud,24.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.938721875540867,3.6901165175936645,0.0,0.0,0.2432883083820343,162.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,999.0
bernicemy.blog,21.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.011365041826379,3.521640636343318,0.0,0.0,0.241911381483078,114.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,999.0
sokanice.com,19.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.826874881864638,3.2516291673878226,0.0,0.0,0.25444096326828003,226.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,999.0
bobbiperzi.com,21.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6897037321995474,3.1820058147602133,0.0,0.0,0.349143385887146,85392.0,7.0,0.4285708163274053,1.0,0.0,6.0,0.0,14.0,0.0,0.0,999.0
somaeclinic.shop,23.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8279097821439696,3.5,0.0,0.0,0.30476734042167664,114.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,999.0
somaeclinic.com,22.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.788754913993503,3.1898980954642875,0.0,0.0,0.29175829887390137,89338.0,6.0,0.4999991666680556,1.0,0.0,6.0,0.0,12.0,1.0,0.0,999.0
akyclinic.com,20.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.784183719779189,3.180832987205441,0.0,0.0,0.3492005467414856,732116.0,0.0,0.0,0.0,0.0,83.0,0.0,17.0,0.0,0.0,999.0
nice-meeting.com,23.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6753108689123635,3.202819531114783,0.0,0.0,0.22931629419326782,5152.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,999.0
bagoboba.beer,20.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4219280948873627,2.6235166412180155,0.0,0.0,0.27811601758003235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0
nicomax.ca,17.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.616874605956222,2.9219280948873623,0.0,0.0,0.25310128927230835,89854.0,6.0,0.4999991666680556,1.0,0.0,6.0,0.0,39.0,1.0,0.0,999.0
poppymunich.com,22.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.550340709546388,3.1898980954642875,0.0,0.0,0.30525633692741394,142357.0,10.0,0.1999998000002,0.0,0.0,11.0,0.0,19.0,1.0,0.0,999.0
bellaponics.org,22.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.004886164091843,3.640223928941852,0.0,0.0,0.32863757014274597,3136.0,1.0,0.9999900000999989,0.0,0.0,6.0,0.0,11.0,0.0,0.0,999.0
targgov.info,19.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6818808028034025,3.2516291673878226,0.0,0.0,0.18122869729995728,605912.0,12.0,0.9999991666673611,1.0,0.0,1.0,0.0,0.0,0.0,0.0,999.0
traderepnblic.cfd,24.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8868421881310113,3.616874605956222,0.0,0.0,0.33557364344596863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
