Domain,base_host,CSE_Score,CSE_Match,Lexical_Score,CSE_Similarity,risk_bucket,reason
ra9.net.in,ra9.net.in,0.3165,PNB,0.1942,0.5,low,lexical+cse
dwar.co.in,dwar.co.in,0.3119,NIC,0.1865,0.5,low,lexical+cse
gptandagondia.org.in,gptandagondia.org.in,0.3032,PNB,0.2196,0.4286,low,lexical+cse
b52.co.in,b52.co.in,0.3403,NIC,0.2117,0.5333,low,lexical+cse
online-syntax.in,online-syntax.in,0.3081,SBI,0.0869,0.64,low,lexical+cse
bmcindustries.co.in,bmcindustries.co.in,0.3086,IOCL,0.2285,0.4286,low,lexical+cse
indiancomet.in,indiancomet.in,0.3223,IOCL,0.0735,0.6957,low,lexical+cse
gohere.in,gohere.in,0.3036,NIC,0.0615,0.6667,low,lexical+cse
glomeq.in,glomeq.in,0.3073,NIC,0.0678,0.6667,low,lexical+cse
fitgen.co.in,fitgen.co.in,0.3374,NIC,0.1919,0.5556,low,lexical+cse
gronav.in,gronav.in,0.3569,NIC,0.0615,0.8,low,lexical+cse
hecs.co.in,hecs.co.in,0.3085,NIC,0.1808,0.5,low,lexical+cse
w-max.co.in,w-max.co.in,0.3069,NIC,0.1978,0.4706,low,lexical+cse
dhanguard.org.in,dhanguard.org.in,0.3064,NIC,0.2077,0.4545,low,lexical+cse
glowuv.in,glowuv.in,0.3607,NIC,0.0678,0.8,low,lexical+cse
studioardo.co.in,studioardo.co.in,0.301,SBI,0.2118,0.4348,low,lexical+cse
addigit.co.in,addigit.co.in,0.3267,NIC,0.1936,0.5263,low,lexical+cse
greenlotus.co.in,greenlotus.co.in,0.3118,NIC,0.2166,0.4545,low,lexical+cse
kitab.co.in,kitab.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
new10.co.in,new10.co.in,0.3185,NIC,0.2171,0.4706,low,lexical+cse
flyhigh.org.in,flyhigh.org.in,0.3205,NIC,0.2008,0.5,low,lexical+cse
